house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
12;7721081;wal1870797;144989;113893;6530;56078A01-
5;7763613;wal1870788;148405;92024;6440;56029A090
13;7721081;wal1870798;145025;113903;6530;56078A01-
1;7720436;wal1870843;145241;92318;6440;56029A090
9;7763613;wal1870790;148480;91968;6440;56029A090
68;7766520;wal1945364;134639;105280;6560;56022E062
4;7721152;wal1870801;145310;113763;6530;56078A043
7;7763613;wal1870789;148423;92009;6440;56029A090
79;7720497;wal797598;143250;117694;6540;56044A100
11;7721005;wal816402;144949;113659;6530;56078A043
33;7766521;wal1945239;134606;105322;6560;56022E062
8;7720432;wal1863856;147117;93396;6440;56029A001
64;7721474;wal2081183;155815;112964;6120;56086B000
11;7721442;wal817434;153224;112931;6120;56086A39-
60;7720946;wal809768;145279;114306;6530;56078A01-
2;7720641;wal785650;137578;112781;6567;56049C091
52;7721532;wal811248;153565;113258;6120;56086A39-
14;7720963;wal819787;142819;113882;6530;56078A21-
17;7719388;wal867262;137551;101884;6500;56005E091
18;7721047;wal832781;145167;114138;6530;56078A01-
44;7720391;wal790592;146531;95367;6440;56029A1AJ
283;7720391;wal791044;146411;95148;6440;56029A1AJ
131;7720391;wal1509485;146320;95406;6440;56029A1AJ
149;7720391;wal783928;146485;95368;6440;56029A1AJ
19;7719364;wal863595;140756;106102;6500;56005G01-
50;7720391;wal1508058;146513;95431;6440;56029A1AJ
221;7720391;wal1510620;146368;95243;6440;56029A1AJ
288;7720391;wal791040;146471;95171;6440;56029A1AJ
185;7720391;wal1509893;146368;95306;6440;56029A1AJ
276;7720391;wal1512413;146443;95129;6440;56029A1AJ
11;7720444;wal1836048;148867;97896;6441;56029C082
84;7721005;wal1955705;145855;112260;6531;56078C000
6;7720449;wal783160;148072;93587;6440;56029A182
322;7720391;wal790602;146434;95221;6440;56029A1AJ
3;7720391;wal790617;146517;95257;6440;56029A1AJ
3;7721442;wal817428;153320;112883;6120;56086A39-
59;7720391;wal1508097;146508;95492;6440;56029A1AJ
2;7721926;wal952419;136199;95073;6470;56088A002
15;7721851;wal831214;137842;94754;6470;56088A081
88;7720391;wal1509204;146391;95399;6440;56029A1AJ
122;7720393;wal1510995;146823;95835;6440;56029B163
113;7720391;wal783948;146353;95538;6440;56029A1AJ
187;7720391;wal784520;146385;95290;6440;56029A1AJ
246;7720391;wal784481;146328;95024;6440;56029A1AJ
6;7720426;wal806557;148571;93088;6440;56029A081
16;7720292;wal791778;134111;105719;6560;56022E000
16;7720050;wal1997854;150215;79419;6464;56016E00-
7;7721926;wal952369;136170;95159;6470;56088A00-
44;7721046;wal832225;142637;113702;6530;56078A21-
17;7720775;wal1659598;138510;81849;6591;56051B000
