house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
117;122916;vlg200014;228704;164193;3700;73083A112
203;121225;vlg200051;213085;177401;3570;73001A300
48;121727;vlg200104;216438;166476;3840;73009L09-
47;121758;vlg200154;219667;166836;3840;73009A091
31;123360;vlg200202;219816;169983;3830;73098A10-
14;122042;vlg200304;228240;170020;3730;73032B099
4;123554;vlg200321;242714;185518;3630;73107A302
33;122184;vlg200365;221472;173373;3720;73040A012
57;123012;vlg200449;227676;164508;3700;73083A303
22;123012;vlg200450;227702;164387;3700;73083A022
2;122905;vlg200468;227955;163316;3700;73083A401
38;122332;vlg200473;237687;175463;3620;73042E00-
4;122133;vlg200500;221005;173471;3720;73040A012
352;121836;vlg200506;222289;164645;3840;73009F080
91;122477;vlg200547;241779;175757;3620;73042A10-
578;123721;vlg200595;243016;182492;3630;73107B090
115;123766;vlg200634;242324;185015;3630;73107A101
545;123006;vlg200654;225276;166566;3700;73083A282
285;122521;vlg200683;238352;177323;3620;73042A053
28;121484;vlg200745;232959;173495;3740;73006D00-
14;123212;vlg200751;227179;166816;3700;73083D001
12;122082;vlg200760;226348;170828;3732;73032E09-
5;122141;vlg200791;221319;173418;3720;73040A012
31;122207;vlg200816;221399;172239;3720;73040A00-
199;122458;vlg200861;241170;176852;3620;73042A311
64;123027;vlg200873;231193;163260;3700;73083G100
6;122840;vlg201043;235946;165190;3770;73066G001
150;122625;vlg201046;240587;177485;3620;73042A311
3;121769;vlg201051;218706;166179;3840;73009A00-
34;121970;vlg201084;215472;160845;3870;73022A001
20;121255;vlg201111;215358;174494;3570;73001A023
61;122521;vlg201175;239371;176121;3620;73042A032
16;123315;vlg201205;227895;163228;3700;73083A401
120;122994;vlg201262;225840;167156;3700;73083C00-
6;123292;vlg201265;227697;166655;3700;73083D091
5;121852;vlg201277;212887;167112;3840;73009N000
36;123481;vlg201288;244746;187146;3630;73107D000
12;123772;vlg201359;245598;181339;3631;73107H00-
3;123778;vlg201412;241602;185739;3630;73107A330
32;121486;vlg201429;227178;177482;3740;73006B102
7;122824;vlg201462;233755;164534;3770;73066H00-
15;123710;vlg201494;243511;184648;3630;73107A001
182;123214;vlg201519;225726;162737;3700;73083B012
31;122969;vlg201536;227268;163127;3700;73083A401
33;123181;vlg201546;225904;162739;3700;73083B012
10;122708;vlg201567;237061;165011;3770;73066F090
100;123173;vlg201585;229542;164079;3700;73083A19-
8;123404;vlg201594;217570;171092;3830;73098A393
1;121185;vlg201611;213741;176665;3570;73001A300
13;123333;vlg201643;218413;171441;3830;73098A022
39;123500;vlg201648;244150;187064;3630;73107D000
10;122295;vlg201656;243677;180614;3621;73042B09-
28;123479;vlg201659;242792;187946;3630;73107D201
16;122551;vlg201695;240524;177006;3620;73042A311
13;122995;vlg201965;226431;164920;3700;73083A213
14;122336;vlg201973;240617;177182;3620;73042A311
157;122344;vlg201993;238474;176483;3620;73042A042
553;122287;vlg202072;237261;179406;3620;73042A516
20;121702;vlg202146;220480;167385;3840;73009C09-
33;121971;vlg202164;221365;161706;3870;73022K00-
209;122911;vlg202195;227255;165183;3700;73083A012
47;123391;vlg202229;219383;169708;3830;73098A10-
25;123741;vlg202290;241973;182391;3630;73107B00-
112;121736;vlg202298;220121;165136;3840;73009G09-
41;122662;vlg202345;236699;163609;3770;73066G190
40;123691;vlg202371;242674;188425;3630;73107D201
244;121572;vlg202398;232759;171100;3740;73006K012
2;123591;vlg202440;242599;184660;3630;73107A101
36;122759;vlg202454;235105;167395;3770;73066B00-
39;121767;vlg202464;218534;166764;3840;73009A019
106;121898;vlg202499;219608;162931;3870;73022H00-
62;122388;vlg202519;242556;178288;3620;73042C001
13;121532;vlg202526;232319;169220;3740;73006L080
53;121501;vlg202579;230924;173986;3740;73006A00-
8;123587;vlg202613;241452;183171;3630;73107B01-
15;121348;vlg202625;231866;175798;3740;73006C001
90;122068;vlg202644;228183;174671;3730;73032A38-
67;121798;vlg202678;220075;168598;3840;73009C00-
26;123042;vlg202685;227125;163597;3700;73083A434
37;123070;vlg202722;227510;163942;3700;73083A001
40;122680;vlg202730;234794;167306;3770;73066B00-
120;123678;vlg202823;242920;186888;3630;73107D101
41;121205;vlg202855;214869;173319;3570;73001A182
1;121344;vlg202856;234925;173281;3740;73006G000
126;122160;vlg202917;223248;174339;3721;73040C091
