house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
160;7707960;wal1946599;104492;133009;7973;51008B09-
10;7708213;wal1877019;113262;141638;7940;51012A02-
1;7764380;wal1877047;113238;141881;7940;51012A02-
4;7764380;wal1877050;113212;141843;7940;51012A02-
5;7764380;wal1877051;113210;141836;7940;51012A02-
6;7764380;wal1877052;113226;141819;7940;51012A02-
12;7764380;wal1877058;113189;141849;7940;51012A02-
13;7764380;wal1877059;113195;141873;7940;51012A02-
58;7708497;wal1989433;102126;159633;7890;51017A180
14;7708506;wal1859747;101461;158439;7890;51017A00-
1;7707482;wal1867889;110221;145131;7810;51004J00-
2;7707482;wal1867890;110207;145153;7810;51004J00-
3;7707482;wal1867907;110231;145152;7810;51004J00-
3;7762900;wal1867913;108407;146705;7800;51004A00-
34;7707970;wal530982;104923;135851;7970;51008A10-
17;7708664;wal1616679;91215;151739;7910;51065H00-
51;7707784;wal1613501;107816;145710;7800;51004A112
7;7708252;wal1613518;113394;142812;7940;51012A001
1;7708252;wal1613519;113403;142837;7940;51012A001
29;7708251;wal1613520;112654;144774;7941;51012E01-
4;7708249;wal1613528;113480;142757;7940;51012A001
2;7707520;wal1606978;108973;147300;7800;51004A301
1;7707520;wal1606982;109000;147279;7800;51004A301
12;7707516;wal1606999;108164;147059;7800;51004A00-
5;7707515;wal1607004;107795;147276;7800;51004A201
13;7707515;wal1607006;107783;147312;7800;51004A201
12;7707515;wal1607007;107785;147306;7800;51004A201
1;7707515;wal1607008;107801;147257;7800;51004A201
15;7707495;wal1607012;108241;146999;7800;51004A01-
1;7707495;wal1607018;108200;147042;7800;51004A01-
9;7707543;wal1607030;108224;146861;7800;51004A00-
6;7707543;wal1607033;108252;146890;7800;51004A00-
2;7707347;wal1607054;108190;147470;7800;51004A040
1;7707346;wal1607056;115341;149708;7822;51004F00-
19;7707784;wal1613537;107909;145867;7800;51004A112
31;7707628;wal1613565;108680;146323;7800;51004A312
17;7707628;wal1613574;108674;146344;7800;51004A312
15;7707628;wal1613577;108672;146353;7800;51004A312
13;7707628;wal1613580;108668;146361;7800;51004A312
3;7707786;wal1613583;108069;146678;7800;51004A00-
61;7707934;wal1613592;101737;134263;7972;51008C00-
37;7707227;wal1607066;107824;146258;7800;51004A101
9;7707503;wal1607069;108262;146808;7800;51004A00-
1;7707503;wal1607080;108222;146840;7800;51004A00-
