house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
63;48469;vlg200190;43071;192702;8600;32003A20-
41;49218;vlg200329;56825;191595;8610;32011A001
20;49106;vlg200435;56744;193839;8610;32011A03-
43;48372;vlg200501;46071;197821;8600;32003C00-
7;49137;vlg200574;50602;190382;8610;32011D00-
16;49166;vlg200604;58350;190996;8610;32011A10-
16;48728;vlg200902;48988;199669;8600;32003D08-
54;49088;vlg200910;52405;198331;8680;32010A032
10;48950;vlg201054;52353;199323;8680;32010A043
105;49201;vlg201123;57888;193105;8610;32011A091
33;49284;vlg201154;35081;185553;8647;32030B00-
18;49163;vlg201191;53558;192673;8610;32011B091
27;49202;vlg201387;57524;191977;8610;32011A110
55;49120;vlg201456;56649;191801;8610;32011A001
69;48722;vlg201632;39283;197133;8600;32003M00-
56;48821;vlg201675;50671;186017;8650;32006A001
10;49050;vlg201777;49821;200553;8680;32010C09-
10;48653;vlg201957;49244;190380;8600;32003A19-
2;48533;vlg201977;44548;197271;8600;32003C09-
26;49129;vlg201997;56729;192445;8610;32011A052
10;49209;vlg202158;52090;188169;8610;32011D091
7;49100;vlg202571;54579;191690;8610;32011B00-
19;49230;vlg202676;37376;188089;8647;32030A091
18;48781;vlg203356;37715;192627;8600;32003L00-
4;48420;vlg203495;44532;192563;8600;32003A001
35;48772;vlg203664;44473;191911;8600;32003A021
30;48506;vlg203921;48894;199140;8600;32003D08-
9;48576;vlg203990;39504;197217;8600;32003M00-
45;48764;vlg204295;44255;192643;8600;32003A001
18;49162;vlg204401;57050;191590;8610;32011A001
12;48640;vlg204414;38169;195939;8600;32003M09-
33;48839;vlg204451;47724;187886;8650;32006D00-
22;48408;vlg204735;44805;192870;8600;32003A053
72;48761;vlg204811;45984;195413;8600;32003B000
4;49177;vlg205333;56996;192066;8610;32011A052
5;49116;vlg205339;54074;190728;8610;32011B01-
45;48551;vlg205461;47224;191663;8600;32003A19-
81;48772;vlg205585;44550;191245;8600;32003A021
38;48955;vlg205769;51476;195711;8680;32010B00-
15;48930;vlg205826;51072;186957;8650;32006A022
2;49159;vlg205829;50972;190001;8610;32011D091
33;48719;vlg205896;48113;191104;8600;32003A19-
55;49126;vlg206216;57175;190890;8610;32011A02-
16;49112;vlg206460;56534;192034;8610;32011A052
6;48981;vlg206473;52837;198826;8680;32010A043
62;48534;vlg206611;46497;199942;8600;32003D000
76;48927;vlg206689;43074;184255;8650;32006B00-
13;49130;vlg206763;58495;191444;8610;32011A10-
109;48585;vlg206975;45250;197819;8600;32003C09-
3;49154;vlg207024;56336;194999;8610;32011A091
92;48585;vlg207059;45422;195894;8600;32003B090
43;48908;vlg207185;44174;183970;8650;32006B012
7;49017;vlg207347;52598;199066;8680;32010A043
19;49120;vlg207415;56765;191835;8610;32011A001
23;48669;vlg207452;43922;192352;8600;32003A03-
44;49112;vlg207498;56586;192211;8610;32011A052
243;49193;vlg207508;51337;190746;8610;32011D00-
2;48524;vlg207650;41853;199160;8600;32003M08-
18;49198;vlg207683;56160;192079;8610;32011A013
120;48955;vlg207810;51458;195252;8680;32010B00-
4;48586;vlg207831;39831;194114;8600;32003K00-
23;48516;vlg207958;46770;199373;8600;32003D090
6;48963;vlg208050;52540;199170;8680;32010A043
15;48891;vlg208082;50199;186318;8650;32006A001
7;49208;vlg208398;51277;192105;8610;32011C00-
45;49131;vlg208777;55817;190986;8610;32011A28-
9;48800;vlg208874;50824;186581;8650;32006A022
2;48532;vlg209070;44702;191542;8600;32003A312
61;49215;vlg209437;53504;191718;8610;32011B00-
35;48679;vlg209720;44616;192521;8600;32003A053
25;49003;vlg209730;50128;198499;8680;32010A10-
179;49120;vlg209951;54266;191468;8610;32011B00-
68;48389;vlg210321;45346;192351;8600;32003A01-
36;48565;vlg210399;47484;199061;8600;32003D08-
9;49166;vlg210487;58506;190905;8610;32011A10-
3;49111;vlg210523;51022;190723;8610;32011D00-
97;48534;vlg210552;46498;200184;8600;32003D000
22;49142;vlg210976;56250;192362;8610;32011A052
43;49284;vlg211024;35088;185479;8647;32030B00-
26;48509;vlg211088;44474;192298;8600;32003A042
3;49250;vlg211099;39642;186833;8647;32030A091
61;48372;vlg211152;46126;197788;8600;32003C08-
73;48400;vlg211207;44134;192532;8600;32003A042
5;48968;vlg211235;52071;198909;8680;32010A0MA
14;49214;vlg211320;51432;191980;8610;32011C00-
10;48823;vlg211405;50839;187007;8650;32006A022
2;49142;vlg211445;55818;192019;8610;32011A013
6;49097;vlg211592;56615;194950;8610;32011A091
138;49074;vlg211602;51999;197738;8680;32010A0QB
6;48531;vlg211669;44791;192839;8600;32003A053
247;48838;vlg211696;47752;185313;8650;32006C10-
9;48571;vlg211774;44736;191850;8600;32003A021
28;48493;vlg211880;44457;192685;8600;32003A001
67;49037;vlg211907;51635;194728;8680;32010B00-
4;48892;vlg212001;41843;185922;8650;32006B09-
76;48838;vlg212142;49454;185850;8650;32006A01-
12;49071;vlg212335;52087;198309;8680;32010A0QB
20;49111;vlg212446;50929;190713;8610;32011D00-
212;48389;vlg212556;47001;192013;8600;32003A10-
4;49278;vlg212740;36296;186874;8647;32030A00-
70;48722;vlg212799;38918;197118;8600;32003M00-
74;49278;vlg212875;36681;187045;8647;32030A00-
13;49119;vlg212929;54109;191480;8610;32011B00-
8;48888;vlg213149;50062;186093;8650;32006A01-
