house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
4;60865;vlg200058;28785;202372;8670;38014A11-
146;60579;vlg200101;34144;203735;8670;38014B062
20;60366;vlg200316;24532;199671;8660;38008A052
262;60361;vlg200492;26511;199774;8660;38008A04-
5;60398;vlg200592;32049;201752;8670;38014B090
111;60579;vlg200669;34188;203839;8670;38014B062
18;60788;vlg200799;27006;201013;8670;38014A22-
1;60636;vlg201083;27070;201220;8670;38014A20-
38;60391;vlg201250;28384;202063;8670;38014A12-
5;60972;vlg201492;32144;203302;8670;38014B11-
25;60395;vlg201565;26806;200981;8670;38014A22-
128;60579;vlg201738;34142;203828;8670;38014B062
171;60703;vlg201782;31388;203307;8670;38014B11-
12;60491;vlg201789;29231;202772;8670;38014A11-
473;61008;vlg201921;31394;203951;8670;38014B10-
5;60316;vlg201942;25214;196923;8660;38008B01-
59;61190;vlg202042;37045;203385;8620;38016A052
76;60094;vlg202057;26513;180756;8691;38002G082
45;61125;vlg202343;36834;203515;8620;38016A001
2;60144;vlg202457;27295;187387;8691;38002C00-
142;60508;vlg202514;33789;204304;8670;38014B262
78;60403;vlg202561;32017;201667;8670;38014B090
71;61066;vlg202585;34435;204624;8620;38016A11-
37;60186;vlg202626;31118;185721;8691;38002E00-
94;60671;vlg202840;27394;201647;8670;38014A21-
38;60271;vlg202861;25523;200079;8660;38008A00-
8;60149;vlg203258;33770;190285;8690;38002A00-
22;60489;vlg203680;33291;204761;8670;38014B21-
17;61132;vlg203885;37208;203428;8620;38016A01-
49;61015;vlg203897;26653;201172;8670;38014A22-
77;61190;vlg203941;36825;203300;8620;38016A001
317;60673;vlg203971;26988;201506;8670;38014A20-
68;60379;vlg204088;25498;200123;8660;38008A00-
2;60412;vlg204120;29141;202603;8670;38014A11-
4;60330;vlg204248;26626;199716;8660;38008A04-
11;60140;vlg204418;30754;182386;8691;38002F00-
89;61355;vlg204434;29984;197587;8630;38025A040
11;61074;vlg204453;34840;205011;8620;38016A11-
185;60761;vlg204623;34150;203351;8670;38014B062
35;61066;vlg204745;34421;205311;8620;38016A11-
3;60646;vlg204785;26880;201211;8670;38014A22-
367;60508;vlg204800;33934;203886;8670;38014B262
20;61008;vlg204871;26852;201577;8670;38014A20-
37;60491;vlg204901;29387;202559;8670;38014A11-
19;60355;vlg204963;25815;200597;8660;38008A11-
65;60318;vlg204992;25561;197150;8660;38008B01-
13;60404;vlg205104;32808;202390;8670;38014B041
76;61282;vlg205119;30697;196284;8630;38025A311
325;60897;vlg205135;26970;201445;8670;38014A20-
2;60778;vlg205285;27030;201602;8670;38014A21-
3;60161;vlg205358;29289;189162;8691;38002D090
8;60203;vlg205366;25401;200694;8660;38008A10-
30;60238;vlg205557;25336;200627;8660;38008A10-
55;61060;vlg205647;35613;203970;8620;38016A412
6;60907;vlg205696;28373;200069;8670;38014A23-
58;60325;vlg205770;27631;198853;8660;38008B091
27;61241;vlg205824;26435;190459;8630;38025J00-
21;61421;vlg205956;30266;197135;8630;38025A00-
3;61241;vlg206054;26472;190355;8630;38025J00-
10;60513;vlg206199;31303;203407;8670;38014B11-
5;61067;vlg206202;34519;204972;8620;38016A11-
167;60761;vlg206283;34022;202812;8670;38014B062
58;60809;vlg206292;32361;202780;8670;38014B01-
56;60176;vlg206377;32253;190214;8690;38002A089
9;60125;vlg206458;32017;188134;8690;38002A089
10;60482;vlg206494;32216;200240;8670;38014C090
12;61199;vlg206539;32169;197079;8630;38025A19-
5;60385;vlg206558;31795;202036;8670;38014B00-
9;60285;vlg206668;25386;200558;8660;38008A10-
8;60588;vlg206669;28850;201905;8670;38014A12-
44;60839;vlg206727;29421;200814;8670;38014A00-
30;60186;vlg206915;31261;185668;8691;38002E00-
4;60609;vlg206990;28917;202076;8670;38014A11-
8;60851;vlg207196;28508;201930;8670;38014A12-
12;61378;vlg207459;30710;197335;8630;38025A00-
66;60119;vlg207529;30036;187048;8691;38002D090
3;61139;vlg207546;36424;203759;8620;38016A03-
2;60206;vlg207626;25749;200196;8660;38008A03-
4;61295;vlg207642;30294;197865;8630;38025A05-
20;61436;vlg207789;35487;196227;8630;38025C00-
14;61075;vlg207798;34087;205069;8620;38016A11-
31;60095;vlg207834;27607;187335;8691;38002C00-
289;60579;vlg207885;34105;203526;8670;38014B062
11;60703;vlg207933;31864;201999;8670;38014B00-
14;61149;vlg208051;36787;203635;8620;38016A001
1;60472;vlg208068;31738;202530;8670;38014B00-
6;60879;vlg208111;29483;202407;8670;38014A11-
129;60379;vlg208208;25520;200508;8660;38008A10-
200;60703;vlg208342;31429;203329;8670;38014B11-
39;60236;vlg208506;25774;198588;8660;38008B02-
58;60094;vlg208542;26958;180656;8691;38002G11-
10;61139;vlg208838;36464;203730;8620;38016A03-
35;61154;vlg208889;36917;203554;8620;38016A001
251;61012;vlg209071;28764;202167;8670;38014A10-
1;60260;vlg209100;25324;200484;8660;38008A12-
5;60296;vlg209144;25222;196985;8660;38008B01-
15;61081;vlg209177;36385;203995;8620;38016A42-
17;60233;vlg209261;26915;199714;8660;38008A04-
47;60873;vlg209334;30169;201245;8670;38014A01-
69;61108;vlg209431;36605;203449;8620;38016A03-
45;60586;vlg209456;27411;201527;8670;38014A21-
26;61248;vlg209534;32008;197226;8630;38025A19-
11;61213;vlg209558;31529;197295;8630;38025A10-
8;60494;vlg209793;32144;202064;8670;38014B00-
55;61348;vlg209821;30740;197234;8630;38025A02-
62;60481;vlg209916;33470;204994;8670;38014B21-
3;61360;vlg209953;30329;196328;8630;38025A322
21;60914;vlg210161;30638;201681;8670;38014B02-
18;60394;vlg210422;30686;203276;8670;38014B11-
73;60361;vlg210520;25593;199880;8660;38008A010
56;60474;vlg210595;31960;203523;8670;38014B11-
17;60482;vlg210708;32432;200373;8670;38014C090
74;60140;vlg210735;30726;181423;8691;38002F09-
6;60283;vlg210739;26985;199736;8660;38008A04-
26;61355;vlg210756;30273;197385;8630;38025A00-
82;60340;vlg210897;25869;200621;8660;38008A11-
23;60235;vlg210930;25536;199724;8660;38008A010
14;60982;vlg211035;31065;201689;8670;38014B02-
188;60394;vlg211044;33480;204869;8670;38014B21-
29;60599;vlg211127;28764;202296;8670;38014A10-
36;61105;vlg211181;36476;203350;8620;38016A03-
56;60272;vlg211258;26207;197508;8660;38008B001
1;61090;vlg211357;35194;205161;8620;38016A11-
2;61226;vlg211473;30485;197093;8630;38025A00-
5;60811;vlg211484;26760;201471;8670;38014A22-
9;61053;vlg211646;34493;204824;8620;38016A11-
44;60125;vlg211716;32229;186790;8690;38002B00-
38;60819;vlg211783;27570;201339;8670;38014A21-
13;60744;vlg211844;30254;201235;8670;38014A01-
53;60873;vlg211857;30195;201256;8670;38014A01-
30;60288;vlg211884;25059;199975;8660;38008A02-
59;61052;vlg212034;35796;203380;8620;38016A412
21;61398;vlg212247;30706;198101;8630;38025A489
20;60361;vlg212303;25369;199854;8660;38008A00-
13;61414;vlg212360;30868;197200;8630;38025A030
37;61142;vlg212363;35747;204276;8620;38016A412
6;60325;vlg212379;26316;197599;8660;38008B001
8;61279;vlg212406;30590;197173;8630;38025A00-
140;61282;vlg212447;31601;190877;8630;38025H099
305;61012;vlg212453;28586;202423;8670;38014A10-
776;60508;vlg212470;34106;204006;8670;38014B262
28;60272;vlg212554;26144;197479;8660;38008B001
5;60279;vlg212594;26053;200859;8660;38008A11-
36;60692;vlg212629;28479;202196;8670;38014A12-
186;60839;vlg212686;27898;200065;8670;38014A23-
127;60673;vlg212749;28604;202548;8670;38014A10-
3;60359;vlg213425;25648;200159;8660;38008A03-
9;60414;vlg213440;31513;203594;8670;38014B10-
2;60744;vlg213517;30306;201286;8670;38014A01-
34;61400;vlg213722;30354;196689;8630;38025A02-
4;61422;vlg213838;30920;197687;8630;38025A11-
21;60773;vlg213854;32195;203969;8670;38014B11-
31;60536;vlg214353;29316;201911;8670;38014A11-
45;60808;vlg214451;28924;202557;8670;38014A11-
2;60853;vlg214566;29609;202137;8670;38014A11-
6;60157;vlg214603;33822;190645;8690;38002A00-
16;60414;vlg214607;31556;203795;8670;38014B11-
51;60743;vlg214613;28846;201441;8670;38014A12-
20;60847;vlg214696;31672;203323;8670;38014B11-
8;61325;vlg214771;33962;193968;8630;38025D099
51;60325;vlg214923;26527;197628;8660;38008B001
948;60508;vlg215010;33990;204142;8670;38014B262
64;60703;vlg215066;31834;202271;8670;38014B00-
461;60508;vlg215142;34006;203940;8670;38014B262
11;60113;vlg215259;34580;190645;8690;38002A01-
87;60350;vlg215265;25902;199703;8660;38008A010
25;60202;vlg215272;25643;199998;8660;38008A03-
3;61283;vlg215282;29731;189528;8630;38025H099
11;61135;vlg215287;36679;203306;8620;38016A001
14;60352;vlg215601;26269;197692;8660;38008B001
253;60897;vlg215608;27064;201267;8670;38014A20-
9;61273;vlg215613;31444;197624;8630;38025A10-
10;60697;vlg215977;26670;201130;8670;38014A22-
34;60275;vlg216033;25287;199724;8660;38008A00-
9;60667;vlg216125;31671;201716;8670;38014B090
4;60101;vlg216592;25687;180885;8691;38002G082
33;60998;vlg216653;31144;202338;8670;38014B18-
93;60236;vlg216940;25541;198493;8660;38008B02-
36;60792;vlg216941;26806;200882;8670;38014A22-
39;61371;vlg217385;34468;196299;8630;38025C09-
14;60825;vlg217394;27825;201845;8670;38014A12-
4;60277;vlg217412;25157;199545;8660;38008A02-
1;60561;vlg217447;31298;203020;8670;38014B11-
25;60509;vlg217476;27378;201034;8670;38014A21-
14;61268;vlg217594;30472;197729;8630;38025A05-
13;61380;vlg217597;36091;197564;8630;38025A19-
19;61000;vlg217732;27275;201659;8670;38014A21-
19;61142;vlg217750;35800;204125;8620;38016A412
19;61435;vlg218360;31272;197537;8630;38025A10-
11;60446;vlg218437;31801;204097;8670;38014B11-
