house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
31;67490;vlg200133;86163;210520;9990;43010A021
29;66957;vlg200389;93714;208091;9900;43005A03-
41;67297;vlg200391;84973;210548;9990;43010A021
16;67515;vlg200417;84882;210339;9990;43010A021
40;67761;vlg200429;109977;210167;9060;43018A101
9;67321;vlg200476;85519;211474;9990;43010A001
10;67641;vlg200538;99092;219869;9988;43014E090
11;67530;vlg200552;81214;210276;9990;43010A29-
16;66902;vlg200639;106399;212471;9960;43002A032
268;67521;vlg200681;84388;212932;9990;43010A092
13;66986;vlg200771;94909;208376;9900;43005A401
33;67556;vlg200777;85386;210646;9990;43010A021
5;66900;vlg200817;102499;212905;9968;43002C090
70;67195;vlg200820;96073;212100;9970;43007A09-
29;67102;vlg200852;94369;209269;9900;43005A01-
29;67223;vlg200914;98423;209685;9971;43007B00-
16;67522;vlg201064;85269;211508;9990;43010A430
97;67060;vlg201101;93736;208628;9900;43005A00-
5;66890;vlg201544;107699;210590;9960;43002A020
1;66720;vlg201646;102051;208806;9968;43002B000
35;66720;vlg201647;102061;208501;9968;43002B000
55;67826;vlg201700;110039;209704;9060;43018A142
145;66886;vlg201832;109368;213134;9960;43002A01-
101;66844;vlg201840;103429;209980;9968;43002B000
46;67770;vlg201873;111447;210252;9060;43018A012
6;67138;vlg201925;94040;209332;9900;43005A050
55;67670;vlg201935;98537;218797;9988;43014E000
47;67068;vlg202188;93573;208795;9900;43005A050
5;67417;vlg202221;90356;210627;9991;43010C052
120;66991;vlg202326;94309;207696;9900;43005A03-
10;67230;vlg202375;100207;208800;9971;43007B091
312;67080;vlg202381;96432;208507;9900;43005A091
34;67640;vlg202395;98240;218908;9988;43014E000
62;67740;vlg202426;111200;209398;9060;43018A044
62;67172;vlg202463;93529;208217;9900;43005A041
7;67394;vlg202469;90397;205947;9991;43010C191
7;67705;vlg202480;111773;209678;9060;43018A044
31;67679;vlg202612;95836;215266;9982;43014C10-
22;66954;vlg202616;94559;209080;9900;43005A01-
43;67458;vlg202650;89101;210964;9991;43010C011
2;67143;vlg202720;95347;208863;9900;43005A401
40;66925;vlg202799;95207;207788;9900;43005A022
38;67512;vlg202807;89061;211277;9991;43010C040
54;67720;vlg202811;109884;211022;9060;43018A12-
31;67491;vlg202814;84744;212113;9990;43010A430
40;66848;vlg202834;106598;212532;9960;43002A032
6;67279;vlg202864;86158;208295;9990;43010A101
39;67821;vlg202885;110934;209511;9060;43018A044
3;67415;vlg202900;90142;210603;9991;43010C052
31;67392;vlg202989;86902;209827;9990;43010A021
79;67522;vlg203026;84989;211722;9990;43010A430
22;67101;vlg203597;93647;207763;9900;43005A03-
11;67769;vlg203686;110762;209879;9060;43018A020
5;67010;vlg203802;93799;208991;9900;43005A050
7;66819;vlg203866;105484;210828;9960;43002A080
4;67626;vlg203888;96815;217613;9988;43014D09-
43;67004;vlg204072;94617;208145;9900;43005A022
30;67786;vlg204117;110055;210089;9060;43018A101
9;67616;vlg204133;98315;218511;9988;43014E000
15;67343;vlg204140;85774;208366;9990;43010A101
36;66757;vlg204561;101437;213516;9968;43002C000
115;67522;vlg204584;84873;211847;9990;43010A430
124;66754;vlg204614;101552;214122;9968;43002C000
37;67050;vlg204837;94825;208054;9900;43005A022
34;66816;vlg204870;101315;208837;9968;43002B000
40;67819;vlg204879;110839;210103;9060;43018A020
301;66953;vlg204890;91334;210174;9900;43005A172
52;66783;vlg204914;107172;213357;9960;43002A001
135;66760;vlg205158;103894;208740;9968;43002B090
44;67756;vlg205195;111121;210259;9060;43018A012
33;67605;vlg205319;98163;218394;9988;43014E000
214;67286;vlg205426;84573;210416;9990;43010A422
215;67142;vlg205433;92722;207838;9900;43005A072
61;67080;vlg205436;94838;208243;9900;43005A401
19;67545;vlg205442;83023;216234;9992;43010B09-
2;66794;vlg205452;101893;209266;9968;43002B000
129;67699;vlg205505;109590;210046;9060;43018A101
18;66809;vlg205580;101551;213270;9968;43002C000
123;67640;vlg205606;98236;220582;9988;43014E090
35;67108;vlg205611;95232;208406;9900;43005A401
16;66806;vlg205612;104843;216435;9961;43002D091
6;67655;vlg205632;90648;214777;9980;43014A00-
115;67172;vlg205694;93536;207785;9900;43005A03-
48;67770;vlg205844;111452;210251;9060;43018A012
42;66869;vlg205883;101808;216008;9968;43002C29-
40;67102;vlg205905;94353;209246;9900;43005A01-
9;66956;vlg205929;94766;208863;9900;43005A401
40;67223;vlg205961;98466;209645;9971;43007B00-
2;67176;vlg206098;93890;208706;9900;43005A01-
70;67712;vlg206100;111550;209712;9060;43018A044
12;67792;vlg206115;113714;210854;9060;43018A081
37;67670;vlg206261;98442;218784;9988;43014E000
23;67565;vlg206263;90748;214893;9980;43014A00-
32;67368;vlg206316;86007;211457;9990;43010A001
15;67073;vlg206402;92666;207978;9900;43005A072
6;66874;vlg206440;107476;213419;9960;43002A001
5;66864;vlg206742;105914;209587;9960;43002A080
4;67809;vlg206760;111088;209381;9060;43018A044
93;67225;vlg206842;95744;214176;9970;43007A09-
