house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
9;7747823;wal1969857;234244;29244;6760;85045A00-
3;7747780;wal1969863;234194;29052;6760;85045A00-
11;7747911;wal1969860;234314;28923;6760;85045A010
54;7747204;wal1942827;207975;45739;6820;85011G00-
47;7747204;wal1942823;207971;45666;6820;85011G00-
5;7747748;wal1570973;234622;27122;6762;85045D000
107;7747750;wal1570975;235251;27771;6762;85045D02-
17;7747832;wal1570977;235302;27832;6761;85045C10-
19;7747832;wal1570982;235309;27836;6761;85045C10-
5;7747772;wal1571619;234457;29621;6760;85045A010
7;7747772;wal1571628;234432;29639;6760;85045A010
8;7747772;wal1571637;234371;29593;6760;85045A010
9;7747772;wal1571639;234383;29568;6760;85045A010
9;7747780;wal1572133;234117;29067;6760;85045A00-
2;7747781;wal1572135;234243;28936;6760;85045A010
3;7747781;wal1572136;234238;28934;6760;85045A010
12;7747174;wal1572141;218071;43451;6820;85011A000
16;7747174;wal1572148;218014;43475;6820;85011A000
2;7747174;wal1572152;218053;43371;6820;85011A000
22;7747174;wal1572157;217985;43429;6820;85011A000
38;7747174;wal1572163;217933;43342;6820;85011A000
42;7747174;wal1572167;217964;43339;6820;85011A000
13;7747994;wal1571016;242106;47131;6720;85046A000
66;7747832;wal1571022;235757;27991;6761;85045C10-
6;7747904;wal1571025;234153;29022;6760;85045A00-
11;7747999;wal1571062;241895;47121;6720;85046A000
19;7747999;wal1571063;241817;47158;6720;85046A000
27;7747798;wal1570548;234360;29097;6760;85045A00-
29;7747798;wal1570553;234370;29116;6760;85045A00-
4;7747826;wal1570562;234137;29084;6760;85045A00-
2;7747828;wal1570568;234120;29198;6760;85045A00-
30;7747892;wal1570570;234004;28945;6760;85045A02-
3;7747894;wal1570572;234624;28793;6760;85045A010
73;7747971;wal1570579;234092;46387;6724;85046E100
11;7747764;wal1570580;234226;29004;6760;85045A00-
8;7747785;wal1571673;241025;29430;6760;85045F00-
23;7747786;wal1571675;234207;29319;6760;85045A010
29;7747786;wal1571677;234233;29311;6760;85045A010
12;7747193;wal1571680;218168;43359;6820;85011A000
16;7747193;wal1571691;218247;43325;6820;85011A000
20;7747193;wal1571694;218376;43323;6820;85011A000
26;7748044;wal1571708;242310;46965;6720;85046A000
12;7748124;wal1571711;240847;46345;6723;85046C01-
19;7748124;wal1571721;241282;45920;6723;85046A010
24;7747764;wal1570591;234231;29058;6760;85045A00-
29;7747742;wal1570611;233743;29464;6760;85045A03-
45;7747764;wal1570617;234169;29165;6760;85045A00-
31;7747845;wal1570620;236284;30587;6760;85045B010
49;7747174;wal1572176;218009;43330;6820;85011A000
51;7747174;wal1572177;218022;43325;6820;85011A000
53;7747174;wal1572179;218035;43320;6820;85011A000
13;7747971;wal1570891;234282;46643;6724;85046E100
9;7747174;wal1572189;218079;43434;6820;85011A000
1;7747176;wal1572190;217856;43323;6820;85011A000
2;7747176;wal1572195;217858;43312;6820;85011A000
2;7747907;wal1571170;233997;27697;6762;85045D000
9;7747909;wal1571173;234307;29247;6760;85045A010
38;7747742;wal1570673;233895;29378;6760;85045A03-
40;7747742;wal1570679;233880;29385;6760;85045A03-
42;7747742;wal1570686;233865;29392;6760;85045A03-
46;7747742;wal1570697;233835;29406;6760;85045A03-
48;7747742;wal1570705;233819;29413;6760;85045A03-
37;7747920;wal1570713;233860;27628;6762;85045D000
2;7747921;wal1570721;233319;28407;6762;85045D10-
1;7747922;wal1570736;233445;28696;6760;85045A02-
2;7747922;wal1570739;233515;28660;6760;85045D10-
23;7747922;wal1570742;233437;28830;6760;85045A02-
1;7748126;wal1571731;242129;47055;6720;85046A000
14;7748163;wal1571738;231331;25774;6767;85047B10-
30;7748075;wal1571763;242181;47345;6720;85046A000
22;7747864;wal1571771;235434;28297;6761;85045C120
14;7747866;wal1571782;234255;29177;6760;85045A00-
21;7747866;wal1571784;234226;29217;6760;85045A00-
36;7748044;wal1571811;242408;46955;6720;85046A000
5;7748044;wal1571814;242158;47022;6720;85046A000
17;7747787;wal1571827;233782;28134;6762;85045D10-
29;7747859;wal1571836;233351;28688;6760;85045A02-
13;7748018;wal1571198;234070;46761;6724;85046E100
1;7747911;wal1571200;234295;28965;6760;85045A010
3;7747758;wal1571212;234054;27619;6762;85045D000
36;7747999;wal1571077;241697;47267;6720;85046A000
1;7747941;wal1571085;234223;29016;6760;85045A00-
13;7747833;wal1571113;238687;25878;6760;85045E000
38;7747886;wal1571137;237677;30495;6760;85045B001
46;7747886;wal1571150;237718;30501;6760;85045B001
65;7747886;wal1571156;237816;30467;6760;85045B001
9;7747887;wal1571163;234070;29083;6760;85045A02-
7;7747837;wal1571166;238609;25986;6760;85045E000
7;7747838;wal1571293;240620;26151;6760;85045F300
15;7747821;wal1571352;238048;30646;6760;85045B001
10;7747889;wal1571357;237046;28266;6761;85045C009
6;7747933;wal1571371;235327;28015;6761;85045C11-
22;7747740;wal1571378;233890;28943;6760;85045A02-
24;7747740;wal1571379;233883;28940;6760;85045A02-
48;7747740;wal1571383;233592;28738;6760;85045D10-
49;7747740;wal1571384;233689;28781;6760;85045A02-
75;7747007;wal1571390;224201;50955;6812;85007B00-
9;7747007;wal1571393;224253;50559;6812;85007B00-
2;7747010;wal1571394;225773;43177;6810;85007E000
30;7747011;wal1571397;225879;43106;6810;85007E000
80;7747094;wal1571845;238902;40687;6740;85009A000
18;7747860;wal1571857;234102;29268;6760;85045A00-
2;7747931;wal1571873;234039;27783;6762;85045D000
5;7747234;wal1571882;218149;43466;6820;85011A000
104;7747740;wal1571237;233386;28487;6762;85045D10-
118;7747740;wal1571239;233338;28424;6762;85045D10-
126;7747740;wal1571248;233301;28375;6762;85045D10-
127;7747740;wal1571249;233464;28532;6762;85045D10-
134;7747740;wal1571262;233272;28337;6762;85045D10-
149;7747740;wal1571271;233389;28439;6762;85045D10-
