house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
26;7725967;wal1874791;224638;132462;4550;61043A01-
29;7726094;wal1969804;228057;125761;4590;61048A001
1;7762792;wal1874626;232086;130499;4160;61079A00-
21;7726061;wal1874619;228683;126010;4590;61048A012
38;7725581;wal1874551;212927;133692;4500;61031A10-
23;7726061;wal1874620;228695;126019;4590;61048A012
25;7726061;wal1874621;228700;126021;4590;61048A012
1;7762902;wal2004435;223024;125643;4560;61012A50-
4;7724872;wal2004451;220349;122695;4560;61012A099
176;7726349;wal1968386;212655;136878;4520;61072F190
11;7725387;wal1041276;212949;134705;4500;61031A05-
7;7725387;wal1041264;212917;134678;4500;61031A05-
14;7724477;wal2018444;217229;137862;4540;61003A00-
13;7725763;wal1030824;214232;126595;4570;61039B00-
6;7726437;wal1048087;205318;137614;4520;61072D3AW
8;7725763;wal1037687;214104;126587;4570;61039B00-
39;7725763;wal1031400;214637;126930;4570;61039B00-
50;7725605;wal1029876;212689;134702;4500;61031A05-
23;7724475;wal2028027;217410;138016;4540;61003A00-
2;7726578;wal2005810;228212;132306;4163;61079C00-
4;7726729;wal2030916;220550;138923;4480;61080D000
3;7724709;wal2045913;217208;138113;4540;61003A11-
52;7726453;wal1968448;208755;135325;4520;61072B01-
8;7726559;wal1997869;230284;131119;4162;61079B09-
20;7726331;wal1509207;213686;139028;4530;61068A10-
10;7726608;wal1971328;228734;134579;4163;61079C20-
9;7725485;wal1711260;211575;134848;4500;61031A20-
8;7725485;wal1711261;211571;134844;4500;61031A20-
6;7725485;wal1711263;211563;134838;4500;61031A20-
5;7725485;wal1711266;211561;134828;4500;61031A20-
3;7725485;wal1711268;211548;134807;4500;61031A20-
2;7725485;wal1711272;211538;134790;4500;61031A20-
37;7725689;wal1714391;211449;134981;4500;61031A20-
35;7725689;wal1714400;211451;134972;4500;61031A20-
32;7725689;wal1714407;211490;135015;4500;61031A20-
30;7725689;wal1714412;211487;135010;4500;61031A20-
26;7725689;wal1714422;211485;134999;4500;61031A20-
25;7725689;wal1714425;211442;134948;4500;61031A20-
23;7725689;wal1714433;211442;134943;4500;61031A20-
20;7725689;wal1714437;211474;134978;4500;61031A20-
6;7726294;wal1714451;210562;142891;4530;61068B000
9;7726486;wal1714461;209865;136455;4520;61072A00-
25;7725386;wal1714474;211814;134475;4500;61031A00-
10;7725574;wal1714478;214041;135571;4500;61031C1AJ
2;7726499;wal1709597;210206;135870;4520;61072A00-
14;7726499;wal1709603;210108;135818;4520;61072A00-
1;7726499;wal1709614;210307;135718;4520;61072A00-
30;7725484;wal1710631;211790;135581;4500;61031A23-
3;7725484;wal1710637;211598;134900;4500;61031A20-
2;7725484;wal1710667;211593;134886;4500;61031A20-
14;7725484;wal1710687;211673;135200;4500;61031A23-
13;7725484;wal1710713;211670;135188;4500;61031A23-
11;7725484;wal1710719;211667;135175;4500;61031A23-
33;7725508;wal1708274;212268;135080;4500;61031A01-
8;7725507;wal1708285;211250;134619;4500;61031A21-
6;7725507;wal1708291;211238;134647;4500;61031A21-
69;7725806;wal1708301;215135;127239;4577;61041B209
79;7725571;wal1714494;211287;135331;4500;61031A23-
69;7725571;wal1714500;211317;135278;4500;61031A23-
10;7725645;wal1711726;211651;134100;4500;61031A30-
57;7725506;wal1709134;211278;134004;4500;61031A32-
50;7725506;wal1709135;210552;133919;4500;61031B200
3;7725506;wal1709142;211503;134079;4500;61031A32-
18;7725602;wal1709147;212738;134946;4500;61031A05-
2;7726110;wal1710181;227814;125860;4590;61048A001
8;7726289;wal1710184;210780;142684;4530;61068B000
52;7726350;wal1710188;209991;136579;4520;61072A00-
5;7725379;wal1710238;211424;134581;4500;61031A20-
10;7725484;wal1710733;211661;135158;4500;61031A23-
58;7725677;wal1707124;210354;135864;4500;61031A400
3;7725607;wal1707130;211987;134447;4500;61031A00-
45;7725792;wal1705087;210252;131800;4570;61039A210
89;7725775;wal1039201;212726;130497;4570;61039A11-
5;7725746;wal1705125;210718;131043;4570;61039A20-
22;7726095;wal1705131;228472;126474;4590;61048A001
56;7726263;wal1705144;213504;140447;4530;61068A00-
7;7725518;wal1705153;211752;134447;4500;61031A00-
32;7725413;wal1705160;206904;131265;4500;61031B59-
92;7725643;wal1711733;210614;134397;4500;61031B10-
1;7726328;wal1711740;214221;139897;4530;61068A1AA
99;7726717;wal1711787;223005;141641;4480;61080A00-
96;7726717;wal1711797;222821;141556;4480;61080A072
94;7726717;wal1711802;222836;141565;4480;61080A072
81;7726717;wal1711810;223044;141662;4480;61080A00-
7;7726717;wal1711815;223214;141772;4480;61080A00-
44;7725999;wal1711819;221747;133345;4550;61043B09-
1;7726404;wal1711822;209313;136163;4520;61072A021
