house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
43;74596;vlg200078;96994;173925;9700;45035A732
1;75880;vlg200102;113437;168932;9570;45063A08-
5;75966;vlg200105;97843;165124;9680;45064A08-
2;74438;vlg200130;98473;171926;9700;45035A201
3;76155;vlg200235;104195;171511;9630;45065K00-
67;75569;vlg200412;87298;162904;9690;45060A00-
21;74886;vlg200420;96299;159389;9600;45041A30-
31;75023;vlg200463;98021;161063;9600;45041A712
26;75177;vlg200465;99671;176363;9750;45057A01-
19;75494;vlg200482;106526;167629;9660;45059A212
77;74370;vlg200539;95699;171360;9700;45035A601
21;76173;vlg200566;104891;173529;9630;45065A09-
145;75040;vlg200584;95550;158484;9600;45041A350
61;75045;vlg200610;96540;159202;9600;45041A312
1;76066;vlg200617;102493;176205;9636;45065M090
9;75011;vlg200631;96594;159481;9600;45041A30-
54;75716;vlg200711;90180;172008;9790;45061B00-
2;76082;vlg200833;103296;171910;9630;45065L082
42;75982;vlg200872;101054;164901;9688;45064D09-
80;74891;vlg200898;97655;159924;9600;45041A101
28;74900;vlg200966;96093;158556;9600;45041A340
23;74324;vlg201022;92256;175798;9772;45017C00-
46;74403;vlg201041;99590;174034;9700;45035C00-
42;76072;vlg201093;105081;171467;9630;45065K00-
40;74893;vlg201335;94927;160821;9600;45041A60-
7;76187;vlg201375;105370;174225;9630;45065A00-
7;75982;vlg201377;101072;165418;9688;45064D00-
11;74727;vlg201400;96424;170525;9700;45035A001
13;76126;vlg201595;105676;177270;9630;45065F091
159;75080;vlg201606;95049;159145;9600;45041A04-
15;75742;vlg201636;89855;169812;9790;45061A091
703;75045;vlg201676;96871;159071;9600;45041A312
5;75360;vlg201702;105037;166546;9660;45059C091
91;75872;vlg201724;111906;167369;9570;45063A100
25;75290;vlg201780;103695;168793;9660;45059C091
24;75394;vlg201797;108215;162767;9660;45059G00-
1;75140;vlg201806;95174;176829;9750;45057C00-
2;75796;vlg201807;103055;171138;9667;45062A09-
37;74646;vlg201900;98468;173440;9700;45035A101
4;75206;vlg202040;99571;177697;9750;45057A000
47;74410;vlg202120;95500;171650;9700;45035A601
84;75556;vlg202166;87558;162621;9690;45060A00-
26;74554;vlg202177;98189;171849;9700;45035A201
48;75037;vlg202198;92840;160132;9600;45041A582
28;76173;vlg202272;104808;173533;9630;45065A09-
31;75556;vlg202329;87260;162466;9690;45060A00-
110;75626;vlg202388;89615;164327;9690;45060B032
22;75415;vlg202399;109345;164058;9661;45059F091
6;75784;vlg202475;101947;171453;9667;45062A09-
21;75532;vlg202635;87660;161561;9690;45060A033
118;75726;vlg202740;93093;169609;9790;45061A00-
14;75923;vlg202750;98721;167983;9680;45064C09-
47;75103;vlg202824;95249;160216;9600;45041A051
57;74467;vlg202838;100290;169158;9700;45035D19-
14;75316;vlg202868;107326;169516;9660;45059E012
4;74589;vlg202881;100027;173680;9700;45035C00-
167;74604;vlg202882;97300;173380;9700;45035A701
81;75369;vlg202929;105354;163420;9660;45059B010
17;74410;vlg202961;95538;171562;9700;45035A601
3;76156;vlg202999;106680;171282;9630;45065J00-
60;75609;vlg203034;88023;161795;9690;45060A033
23;74270;vlg203092;89649;175257;9771;45017D00-
10;75877;vlg203195;111608;165971;9572;45063D000
16;75759;vlg203268;102744;170679;9667;45062A09-
10;74211;vlg203414;92562;175929;9772;45017C00-
61;76068;vlg203530;104169;177548;9630;45065E002
38;75185;vlg203579;95728;178511;9750;45057B012
17;75640;vlg203593;94327;161647;9690;45060D091
18;74663;vlg203651;95719;171453;9700;45035A601
77;75157;vlg203681;99138;177727;9750;45057A020
312;74601;vlg203699;99452;173315;9700;45035A110
2;74914;vlg203708;98427;160806;9600;45041A712
7;75609;vlg203711;87803;162262;9690;45060A010
10;75989;vlg203772;97368;167753;9680;45064A09-
4;76039;vlg203878;98075;165285;9680;45064A08-
115;74367;vlg203933;94826;168901;9700;45035E1MA
58;74631;vlg203978;98358;173537;9700;45035A101
1;74902;vlg204164;96858;159358;9600;45041A12-
162;75872;vlg204231;111250;167267;9570;45063A100
195;74809;vlg204270;97195;159512;9600;45041A12-
41;75405;vlg204386;107925;165125;9660;45059A10-
63;74410;vlg204425;95380;171833;9700;45035A601
14;75563;vlg204510;90141;162437;9690;45060A091
4;75652;vlg204582;89819;169371;9790;45061D112
205;74453;vlg204588;96284;172489;9700;45035A711
2;74162;vlg204700;88985;177160;9770;45017A20-
7;75355;vlg204701;108322;161164;9660;45059G09-
104;75195;vlg204747;99750;176027;9750;45057A01-
4;74921;vlg204787;95704;161080;9600;45041A61-
30;75071;vlg204917;96376;160206;9600;45041A011
6;75679;vlg204975;91641;172978;9790;45061C891
145;74783;vlg204983;96578;159006;9600;45041A321
99;75184;vlg204989;96050;178158;9750;45057B001
25;74551;vlg205012;96269;169578;9700;45035A50-
37;75287;vlg205061;107697;169455;9660;45059E00-
27;74569;vlg205122;96201;170531;9700;45035A001
18;74958;vlg205137;95465;160303;9600;45041A051
33;75291;vlg205405;106249;166031;9660;45059A29-
15;75300;vlg205462;109080;160815;9660;45059G09-
41;75556;vlg205523;87367;162526;9690;45060A00-
268;74867;vlg205654;94216;159284;9600;45041A400
38;75024;vlg205711;95775;160077;9600;45041A00-
29;74380;vlg205731;98227;170054;9700;45035A30-
19;75227;vlg205880;109075;162413;9660;45059G09-
71;75009;vlg205967;95232;160833;9600;45041A60-
558;75045;vlg205980;96580;159306;9600;45041A312
3;74822;vlg206064;97991;157211;9600;45041A392
117;75626;vlg206086;89775;164164;9690;45060C01-
9;75075;vlg206090;96096;160075;9600;45041A011
43;75083;vlg206173;95195;160510;9600;45041A051
29;75415;vlg206237;109400;164101;9661;45059F00-
9;74960;vlg206245;95419;160253;9600;45041A051
13;75037;vlg206319;93040;160154;9600;45041A50-
32;75990;vlg206324;98969;167583;9680;45064C09-
54;74869;vlg206343;95972;158458;9600;45041A340
10;76156;vlg206431;106544;171209;9630;45065J00-
7;75234;vlg206465;107103;168862;9660;45059E09-
131;74608;vlg206575;98195;173320;9700;45035A101
11;74864;vlg206622;96516;159583;9600;45041A30-
118;74994;vlg206686;97072;160477;9600;45041A072
42;75394;vlg206687;108379;162738;9660;45059G00-
17;75645;vlg206739;89263;171315;9790;45061B09-
4;75950;vlg206762;100836;162932;9688;45064D19-
29;75654;vlg206782;89880;169566;9790;45061D112
78;74838;vlg206786;96372;160852;9600;45041A61-
11;75643;vlg206849;93685;164735;9690;45060D00-
6;76083;vlg206909;105211;174423;9630;45065A00-
13;74390;vlg206986;96050;171414;9700;45035A011
26;75390;vlg207021;108040;166991;9660;45059A22-
117;75184;vlg207044;95934;178176;9750;45057B001
9;74453;vlg207063;95775;171341;9700;45035A601
126;74895;vlg207080;96592;159857;9600;45041A02-
2;74717;vlg207122;96673;171622;9700;45035A021
65;74348;vlg207131;97068;173014;9700;45035A711
36;75821;vlg207247;113229;168035;9570;45063A00-
35;75861;vlg207309;111931;165600;9572;45063D000
68;74601;vlg207317;98564;172755;9700;45035A110
45;75412;vlg207376;105120;167254;9660;45059D082
8;74955;vlg207475;100737;162552;9600;45041A791
101;74647;vlg207480;97935;171360;9700;45035A212
28;74356;vlg207611;96426;170226;9700;45035A030
34;76185;vlg207701;106920;172427;9630;45065H09-
22;75353;vlg207742;106964;166427;9660;45059A20-
99;74217;vlg207756;88466;179374;9770;45017A591
36;76038;vlg207787;102407;165571;9688;45064D09-
5;75728;vlg208045;92580;173543;9790;45061C800
88;74809;vlg208059;96859;159589;9600;45041A12-
1;75241;vlg208094;104984;162881;9660;45059B010
2;75889;vlg208097;97594;167288;9680;45064A00-
15;74310;vlg208136;90889;178036;9770;45017A001
27;76048;vlg208184;95384;162654;9681;45064B09-
32;74784;vlg208255;95775;159675;9600;45041A00-
31;75832;vlg208258;113223;164266;9570;45063C00-
114;74596;vlg208272;96824;174031;9700;45035A732
55;75496;vlg208286;107131;167388;9660;45059A212
1;75745;vlg208350;89476;171712;9790;45061B00-
5;74522;vlg208430;100808;169749;9700;45035D09-
63;75369;vlg208444;105427;163627;9660;45059B010
6;75108;vlg208474;96169;177858;9750;45057C112
75;74994;vlg208494;96293;160275;9600;45041A011
21;75885;vlg208559;100948;162654;9688;45064D19-
14;75408;vlg208658;106272;166554;9660;45059A29-
38;75206;vlg208677;99429;177714;9750;45057A020
4;75486;vlg208730;108502;161693;9660;45059G09-
8;75015;vlg208782;97071;159739;9600;45041A12-
17;75225;vlg208784;107885;166411;9660;45059A00-
22;74891;vlg208793;97324;160038;9600;45041A101
259;74874;vlg208831;94323;159487;9600;45041A400
2;75701;vlg208872;92737;169613;9790;45061A00-
16;75442;vlg208913;104365;165018;9660;45059C082
115;74960;vlg209079;95217;160585;9600;45041A051
4;75269;vlg209107;106649;165320;9660;45059A01-
49;74934;vlg209115;96029;160952;9600;45041A61-
89;74654;vlg209156;96059;168366;9700;45035A51-
