house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
35;58967;vlg200087;77683;179523;8780;37010A001
12;59187;vlg200292;82535;193612;8755;37012A0PA
17;58906;vlg200405;77288;178798;8780;37010A001
2;59386;vlg200460;77282;186127;8700;37015A0PA
6;59774;vlg200491;72768;194113;8750;37018A022
12;59841;vlg200808;77741;198213;8750;37018A49-
8;59571;vlg200972;82018;178281;8710;37017C01-
2;60040;vlg201021;68286;188620;8851;37020B00-
70;58841;vlg201208;73878;183218;8760;37007A03-
45;58853;vlg201296;74239;181617;8760;37007A021
16;59933;vlg201329;68272;188697;8851;37020B00-
37;58964;vlg201417;77305;179699;8780;37010A001
25;58874;vlg201418;74811;184242;8760;37007A04-
3;58934;vlg201450;79250;183796;8780;37010A182
8;59415;vlg201479;76188;187801;8700;37015A222
60;59041;vlg201493;72212;189818;8740;37011B022
21;59663;vlg201664;75650;194564;8750;37018A10-
18;59893;vlg201671;70458;193818;8750;37018B10-
6;59309;vlg201748;77499;188426;8700;37015A411
87;59242;vlg201750;76721;188626;8700;37015A02-
3;59084;vlg201759;71049;187302;8740;37011A01-
18;58872;vlg201907;73600;183056;8760;37007A03-
64;58696;vlg201954;82573;184579;8720;37002A090
29;59313;vlg202005;77030;188226;8700;37015A00-
7;59101;vlg202007;81966;192860;8755;37012A001
8;59923;vlg202026;68185;188681;8851;37020B00-
6;59656;vlg202041;77449;176404;8710;37017B001
1;58980;vlg202256;75732;179289;8780;37010A02-
2;59767;vlg202392;77411;195747;8750;37018A19-
100;58735;vlg202396;83247;180577;8720;37002C000
55;59911;vlg202490;68279;186581;8850;37020A01-
65;59453;vlg202669;79614;189835;8700;37015A082
102;59164;vlg202736;84024;192999;8755;37012A0PA
13;59591;vlg202839;81958;178831;8710;37017C01-
3;60003;vlg202844;68408;187232;8850;37020A01-
24;59826;vlg202879;73099;195062;8750;37018A00-
1;59773;vlg203045;72690;195958;8750;37018A282
3;59561;vlg203068;79819;180728;8710;37017C19-
51;59475;vlg203086;76861;187463;8700;37015A01-
12;59082;vlg203088;71908;188021;8740;37011A01-
6;59599;vlg203125;76968;175959;8710;37017B001
121;58695;vlg203249;81581;181233;8720;37002D02-
5;59181;vlg203257;77989;196361;8755;37012A182
8;59941;vlg203374;67445;186365;8850;37020A022
112;59615;vlg203437;77071;177174;8710;37017B01-
10;59699;vlg203627;76573;196713;8750;37018A391
18;59546;vlg203752;77259;176311;8710;37017B001
17;58893;vlg203839;74454;182761;8760;37007A01-
75;60079;vlg203858;67949;186680;8850;37020A01-
7;59287;vlg203964;76919;188525;8700;37015A02-
20;59911;vlg204069;68130;186460;8850;37020A01-
21;58746;vlg204208;73726;182570;8760;37007A00-
36;59360;vlg204307;76890;188146;8700;37015A00-
20;59459;vlg204381;77375;186738;8700;37015A31-
144;58871;vlg204591;74973;183899;8760;37007A04-
18;59953;vlg204626;68352;188671;8851;37020B00-
8;59238;vlg204660;77904;185791;8700;37015A0MA
3;58957;vlg204684;77868;179583;8780;37010A001
6;59161;vlg204730;81660;192718;8755;37012A001
21;58733;vlg204765;84040;181158;8720;37002C012
74;59176;vlg204775;81334;191712;8755;37012A0PA
3;59956;vlg204877;70387;185602;8850;37020A0PA
