house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
147;55068;vlg200079;56460;202249;8480;35006B01-
310;56333;vlg200153;49380;212000;8400;35013D542
13;56027;vlg200185;46563;212997;8400;35013A59-
13;56396;vlg200283;54610;209703;8460;35014A02-
50;56224;vlg200291;50560;214333;8400;35013B301
22;55746;vlg200311;46871;212786;8400;35013A511
40;56111;vlg200322;48259;213088;8400;35013A43-
48;56306;vlg200339;44636;211636;8400;35013F900
12;55793;vlg200366;49665;212937;8400;35013D32-
14;55243;vlg200377;54691;200009;8480;35006A02-
8;54897;vlg200380;49650;207358;8470;35005D090
65;56233;vlg200516;46583;213264;8400;35013A752
192;54710;vlg200583;52031;215682;8450;35002A20-
15;56367;vlg200663;54135;209865;8460;35014A052
121;55795;vlg200666;51475;211096;8400;35013C099
8;56400;vlg200919;55432;209376;8460;35014A010
37;55821;vlg200938;48029;213118;8400;35013A44-
519;56231;vlg200946;47680;211981;8400;35013E42-
57;55171;vlg200978;56869;201758;8480;35006B091
287;55221;vlg201088;54777;202516;8480;35006B02-
10;55104;vlg201095;54956;198956;8480;35006A00-
143;56243;vlg201106;48153;214195;8400;35013A211
24;56711;vlg201122;56582;218378;8420;35029A11-
34;56379;vlg201147;55094;206929;8460;35014D00-
91;55281;vlg201180;37575;205631;8434;35011H11-
7;55261;vlg201193;57982;206239;8480;35006C00-
7;55466;vlg201246;38332;207811;8434;35011H20-
167;54997;vlg201307;50309;204749;8470;35005A081
58;55882;vlg201316;52714;211361;8400;35013C00-
53;56218;vlg201349;50773;214987;8400;35013B332
4;55955;vlg201357;47268;212023;8400;35013F600
46;56372;vlg201378;55155;209093;8460;35014A010
372;55746;vlg201403;48093;212680;8400;35013A42-
311;55936;vlg201430;47369;212671;8400;35013A522
20;55649;vlg201432;46320;212321;8400;35013F200
156;56231;vlg201455;47970;213295;8400;35013A44-
253;54750;vlg201526;53207;216915;8450;35002A311
37;54800;vlg201556;51323;215682;8450;35002A21-
24;55372;vlg201684;45957;208484;8432;35011C022
42;55572;vlg201691;45608;207844;8432;35011C01-
12;55165;vlg201708;57523;206125;8480;35006C09-
13;55045;vlg201751;49878;208306;8470;35005D010
92;56299;vlg201868;47630;213720;8400;35013A532
2;56656;vlg201955;57342;218985;8421;35029B10-
48;56515;vlg201971;54361;216261;8420;35029A20-
19;55650;vlg201979;49235;212916;8400;35013D32-
102;55317;vlg202009;45587;202731;8433;35011D00-
7;56365;vlg202027;56131;208735;8460;35014B00-
31;56357;vlg202258;55620;207030;8460;35014C013
12;54675;vlg202291;53105;216701;8450;35002A311
3;56464;vlg202295;54625;209837;8460;35014A02-
41;56333;vlg202302;48473;211402;8400;35013E000
10;55699;vlg202314;48801;214720;8400;35013A03-
6;55456;vlg202356;43524;205919;8433;35011G000
