house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
2;7744510;wal1874774;229403;97169;6987;83044D200
11;7743800;wal1953281;233048;94115;6980;83031E29-
45;7743875;wal1953269;236582;97374;6980;83031A052
80;7743316;wal1562724;228628;115539;6940;83012E043
23;7743377;wal1562755;232336;119043;6941;83012H001
3;7743377;wal1562757;232219;119072;6941;83012H001
32;7743137;wal1562772;235026;116850;6941;83012L10-
40;7743137;wal1562776;235169;116690;6941;83012L10-
15;7743226;wal1562804;229979;116086;6940;83012E001
20;7743226;wal1562811;229956;116140;6940;83012E001
38;7743226;wal1562830;229855;116139;6940;83012E001
45;7743226;wal1562834;229808;116110;6940;83012E001
27;7743319;wal1562866;229847;116013;6940;83012E001
30;7743319;wal1562867;229678;115712;6940;83012E043
8;7743380;wal1562463;223725;115904;6940;83012C20-
25;7743315;wal1562528;231008;116690;6940;83012E064
17;7743337;wal1562533;232084;119044;6941;83012H001
1;7743394;wal1562552;226239;117671;6940;83012C100
41;7743337;wal1562563;231865;119014;6941;83012H001
44;7743372;wal1562577;226792;114345;6940;83012B112
19;7743154;wal1562599;230284;116259;6940;83012E001
3;7743155;wal1562606;230022;116046;6940;83012E001
3;7743223;wal1562644;234866;115755;6941;83012L00-
37;7743223;wal1562645;234598;115677;6941;83012L00-
2;7743224;wal1562647;230020;116494;6940;83012E01-
68;7744405;wal207174;224818;94549;6951;83040H022
73;7744405;wal207179;224861;94573;6951;83040H022
52;7744405;wal206046;224714;94703;6951;83040H022
1;7744171;wal1564774;216202;96538;6900;83034E02-
9;7743822;wal1564785;235174;98865;6980;83031A20-
18;7743825;wal1564790;236180;97877;6980;83031A021
6;7743916;wal1564798;219541;102455;6900;83034A00-
2;7743917;wal1564800;217350;98568;6900;83034B222
3;7743757;wal1563807;236392;96791;6980;83031A011
5;7743453;wal1563813;229843;116179;6940;83012E001
4;7743460;wal1563878;223679;119233;6941;83012F00-
44;7743487;wal1563882;229130;115478;6940;83012E043
46;7743487;wal1563883;229118;115448;6940;83012E043
186;7743612;wal1563889;226379;108451;6990;83028A300
70;7743921;wal1564938;217839;99433;6900;83034B201
84;7743921;wal1564944;217774;99324;6900;83034B201
88;7743921;wal1564947;217738;99247;6900;83034B201
17;7743923;wal1564952;219808;101721;6900;83034A02-
32;7743975;wal1564954;215482;95938;6900;83034E00-
4;7743977;wal1564959;217501;99448;6900;83034B201
6;7743977;wal1564962;217510;99464;6900;83034B201
2;7743978;wal1564969;215808;96185;6900;83034E00-
6;7743979;wal1564979;219597;100560;6900;83034B00-
11;7743980;wal1564984;219407;102409;6900;83034A04-
1;7744092;wal1565027;219667;102273;6900;83034A00-
11;7744092;wal1565028;219696;102263;6900;83034A00-
15;7744092;wal1565030;219707;102259;6900;83034A00-
25;7744092;wal1565037;219726;102251;6900;83034A00-
18;7744253;wal1566743;219288;102316;6900;83034A04-
1;7743430;wal1563899;236115;117522;6941;83012K000
8;7744139;wal1565721;219504;102384;6900;83034A00-
133;7743920;wal1565730;220336;102529;6900;83034A010
8;7743910;wal1565735;219739;102083;6900;83034A02-
10;7743911;wal1565738;219448;101886;6900;83034A03-
19;7743911;wal1565746;219407;101954;6900;83034A03-
4;7743991;wal1565759;219576;103074;6900;83034A05-
8;7743991;wal1565763;219481;103077;6900;83034A05-
14;7743994;wal1565765;219765;102464;6900;83034A00-
23;7743994;wal1565771;219759;102441;6900;83034A00-
23;7743920;wal1565777;219907;102353;6900;83034A010
27;7743920;wal1565781;219955;102395;6900;83034A010
29;7743920;wal1565783;219967;102403;6900;83034A010
20;7744144;wal1565803;219658;102222;6900;83034A00-
3;7744144;wal1565806;219646;102259;6900;83034A00-
2;7743956;wal1565809;219693;101748;6900;83034A02-
4;7743956;wal1565811;219697;101759;6900;83034A02-
6;7743956;wal1565814;219699;101770;6900;83034A02-
1;7744047;wal1565818;219404;101745;6900;83034A03-
16;7744049;wal1565832;219020;100941;6900;83034B012
63;7743720;wal1565496;226658;106712;6990;83028A00-
64;7743720;wal1565504;226539;106629;6990;83028A00-
2;7743721;wal1565506;226929;106960;6990;83028A010
4;7743811;wal1565509;236303;97224;6980;83031A011
13;7744014;wal1565512;226027;98439;6900;83034G10-
3;7744137;wal1565515;217611;99516;6900;83034B201
24;7744139;wal1565519;219553;102429;6900;83034A00-
2;7743846;wal1565523;236207;97253;6980;83031A011
5;7744040;wal1565530;217575;98928;6900;83034B222
5;7743982;wal1565537;219557;102286;6900;83034A00-
1;7744070;wal1565542;216123;96574;6900;83034E02-
10;7744070;wal1565547;216266;96629;6900;83034E02-
11;7744070;wal1565553;216260;96659;6900;83034E02-
2;7744070;wal1565559;216167;96560;6900;83034E02-
3;7744070;wal1565564;216146;96588;6900;83034E02-
4;7744070;wal1565569;216190;96574;6900;83034E02-
5;7744070;wal1565574;216178;96613;6900;83034E02-
22;7744206;wal1567426;218175;102395;6900;83034C01-
44;7744288;wal1567435;224735;95551;6951;83040H00-
15;7744289;wal1567437;215241;90054;6953;83040F09-
17;7744289;wal1567440;215210;90090;6953;83040F09-
13;7744224;wal1567442;217533;99975;6900;83034B201
1;7744226;wal1567452;217506;99014;6900;83034B201
37;7744315;wal1567462;217865;93333;6953;83040C00-
11;7744827;wal1567468;242022;117202;6960;83055B010
8;7744373;wal1567488;219591;90081;6950;83040A09-
1;7744565;wal1564266;232432;87308;6970;83049A020
6;7744070;wal1565580;216216;96592;6900;83034E02-
7;7744070;wal1565585;216192;96636;6900;83034E02-
8;7744070;wal1565590;216229;96615;6900;83034E02-
9;7744070;wal1565598;216217;96656;6900;83034E02-
3;7743813;wal1565605;236205;97607;6980;83031A00-
12;7744531;wal1566332;236334;89070;6972;83049C20-
26;7744232;wal1566341;219646;102105;6900;83034A00-
4;7744232;wal1566349;219679;102161;6900;83034A00-
18;7744233;wal1566362;219639;102260;6900;83034A00-
8;7744233;wal1566366;219595;102264;6900;83034A00-
17;7744182;wal1566379;219784;101982;6900;83034A02-
7;7743494;wal1564320;234666;109442;6997;83013A09-
8;7744761;wal1564326;240688;107577;6960;83055A20-
6;7743601;wal1564339;233736;108566;6997;83013B10-
44;7743475;wal1564358;228131;118959;6941;83012D09-
5;7744568;wal1564366;232995;87741;6970;83049A00-
5;7743163;wal1563376;229974;116051;6940;83012E001
53;7743163;wal1563380;229931;115778;6940;83012E032
26;7743246;wal1563384;231906;118647;6941;83012H022
19;7743211;wal1563386;228022;115768;6940;83012A09-
18;7743349;wal1563400;226877;116145;6940;83012A022
37;7744092;wal1565046;219761;102244;6900;83034A00-
4;7743544;wal1565050;237205;110161;6997;83013A120
