house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
37;7740719;wal1863897;196408;159324;4287;64047C000
9;7740922;wal1874985;220407;142295;4470;64065A200
3;7739884;wal1874945;209765;155496;4257;64008C09-
10;7740922;wal1874986;220400;142298;4470;64065A200
9;7763498;wal1874965;203410;145442;4260;64015F00-
1;7764219;wal1874976;222886;155625;4367;64021A499
2;7739871;wal1874943;209685;155493;4257;64008C09-
13;7740922;wal1874987;220368;142295;4470;64065A200
174;7740426;wal2071983;196947;151659;4280;64034P01-
12;7741172;wal2064115;212002;154062;4300;64074A212
21;7740975;wal2039026;220361;142636;4470;64065A200
7;7740467;wal1812824;196080;151975;4280;64034S20-
7;7740050;wal1812843;207981;141802;4260;64015E01-
60;7740162;wal1812844;216803;150249;4357;64023B00-
29;7740160;wal1812846;216561;150457;4357;64023B00-
21;7739902;wal1814535;207812;155801;4257;64008B000
21;7740271;wal1814547;222835;151189;4347;64025A00-
19;7740271;wal1814549;222835;151189;4347;64025A00-
9;7739946;wal1814611;204525;145767;4260;64015A10-
22;7739946;wal1814620;204437;145670;4260;64015A10-
46;7740388;wal1814626;199305;151736;4280;64034A0PA
31;7740309;wal1814628;206747;151681;4250;64029A012
26;7740206;wal1810392;216905;150831;4357;64023B00-
1;7740205;wal1810402;217286;147919;4357;64023D000
28;7740121;wal1810404;222493;157076;4367;64021A000
30;7740532;wal1810421;202469;152298;4280;64034E00-
28;7740532;wal1810423;202466;152277;4280;64034E00-
35;7740120;wal1809979;223916;155691;4367;64021A10-
15;7740120;wal1809982;223914;155548;4367;64021A10-
18;7740356;wal1809988;206465;151220;4250;64029A00-
2;7740353;wal1809992;206747;151245;4250;64029A00-
12;7740353;wal1809995;206875;151267;4250;64029A00-
105;7740457;wal1810005;201517;150463;4280;64034J00-
10;7740457;wal1810017;200720;151000;4280;64034A010
1;7740457;wal1810020;200742;151040;4280;64034A010
30;7740456;wal1810030;197736;154520;4280;64034S099
48;7740516;wal1813077;199462;151190;4280;64034A02-
38;7740516;wal1813078;199544;151191;4280;64034A02-
4;7739905;wal1813110;209642;154513;4257;64008A000
2;7739905;wal1813117;209651;154521;4257;64008A000
15;7739905;wal1813120;209545;154420;4257;64008A000
4;7740276;wal1813131;223144;150744;4347;64025A010
62;7740223;wal1813405;225186;149875;4347;64025A10-
5;7740369;wal1813410;200419;151546;4280;64034A04-
10;7740369;wal1813426;200450;151518;4280;64034A04-
24;7740478;wal1810489;201631;150139;4280;64034J00-
1;7739943;wal1814217;201189;145840;4260;64015G00-
1;7739861;wal1814222;209607;154565;4257;64008A000
24;7739965;wal1810522;200867;146212;4260;64015G09-
1;7740033;wal1810064;206022;145529;4261;64015C082
11;7740031;wal1810068;206433;146236;4261;64015C00-
25;7740388;wal1810076;199483;151712;4280;64034A0PA
1;7740386;wal1810082;200259;151075;4280;64034A02-
41;7740156;wal1814235;216687;150534;4357;64023B00-
35;7740156;wal1814237;216726;150532;4357;64023B00-
33;7740156;wal1814238;216733;150531;4357;64023B00-
2;7740156;wal1814243;217418;150485;4357;64023B09-
12;7740409;wal1814245;200333;151215;4280;64034A02-
3;7740407;wal1814246;203271;153156;4280;64034L00-
26;7740488;wal1814250;200248;151632;4280;64034A00-
23;7740488;wal1814253;200227;151709;4280;64034A03-
2;7740488;wal1814256;200203;151570;4280;64034A00-
18;7740488;wal1814258;200237;151613;4280;64034A00-
13;7739861;wal1813160;209517;154512;4257;64008A000
17;7766439;wal1944068;218815;144255;4470;64065A490
53;7766439;wal1944100;218595;144113;4470;64065A490
45;7766439;wal1944082;218726;144216;4470;64065A490
19;7766439;wal1944069;218808;144244;4470;64065A490
3;7766439;wal1944112;219183;144124;4470;64065A090
5;7740045;wal1813467;204963;147026;4260;64015A00-
44;7740044;wal1813471;201953;146355;4260;64015G00-
1;7739956;wal1813476;202929;146805;4260;64015H00-
6;7740240;wal1813481;222903;150999;4347;64025A00-
2;7740403;wal1813499;200099;151521;4280;64034A00-
7;7740519;wal1812723;199707;151306;4280;64034A02-
3;7740518;wal1812739;200556;147245;4280;64034N000
1;7740518;wal1812744;200532;147246;4280;64034N000
37;7766439;wal1944078;218705;144270;4470;64065A490
43;7766439;wal1944081;218710;144226;4470;64065A490
20;7740133;wal1812776;221880;155000;4367;64021A40-
2;7740133;wal1812779;221687;155304;4367;64021A40-
476;7740223;wal1812793;221444;150213;4347;64025A099
28;7740470;wal1812800;200615;154796;4280;64034C099
31;7766439;wal1944075;218729;144254;4470;64065A490
41;7739898;wal1815781;206612;154274;4257;64008B10-
22;7740000;wal1815824;205241;146834;4260;64015A00-
1;7740000;wal1815825;205168;146592;4260;64015A00-
13;7740264;wal1815826;221553;150446;4347;64025A300
29;7740359;wal1815829;206400;151571;4250;64029A00-
18;7740359;wal1815832;206407;151624;4250;64029A012
3;7740209;wal1815361;217117;149456;4357;64023A00-
54;7740457;wal1815373;201122;150683;4280;64034A010
47;7740457;wal1815375;201079;150743;4280;64034A010
42;7740457;wal1815379;200983;150783;4280;64034A010
11;7740352;wal1811348;207248;150349;4254;64029F00-
1;7740352;wal1811352;207421;150415;4254;64029F00-
10;7740134;wal1811380;223566;154470;4367;64021A300
6;7740382;wal1811382;200012;151224;4280;64034A052
1;7740378;wal1811392;200098;151224;4280;64034A052
