house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
9;66273;vlg200027;116629;188487;9230;42025A041
40;65499;vlg200040;135163;195025;9220;42008B001
4;64722;vlg200070;124425;189190;9290;42003A042
31;66390;vlg200089;115142;188957;9230;42025A222
44;65940;vlg200095;134033;186329;9280;42011A212
26;66047;vlg200121;130178;200066;9250;42023A001
31;66531;vlg200224;122000;186783;9260;42026A19-
17;65923;vlg200237;130688;188175;9280;42011C08-
27;66478;vlg200250;120958;187559;9260;42026C100
74;65356;vlg200399;125286;188408;9200;42006H00-
66;66236;vlg200402;118014;189524;9230;42025A050
141;66089;vlg200413;132146;201426;9250;42023A18-
40;65618;vlg200414;133871;197543;9220;42008A02-
50;66180;vlg200430;117933;189067;9230;42025A050
99;65526;vlg200472;133005;198401;9220;42008A501
36;64991;vlg200515;137807;189362;9255;42004A033
84;66589;vlg200521;126169;195925;9240;42028A312
12;66301;vlg200541;115771;187030;9230;42025A51-
67;66700;vlg200587;126233;194832;9240;42028A412
109;64718;vlg200614;120518;194045;9290;42003C022
310;66415;vlg200686;113408;186438;9230;42025A612
5;66248;vlg200712;115858;189094;9230;42025A201
9;65772;vlg200718;112669;193707;9270;42010A082
3;64790;vlg200724;124592;191728;9290;42003A08-
14;65666;vlg200744;134970;198512;9220;42008A052
14;65457;vlg200747;129133;191211;9200;42006B00-
96;65240;vlg200748;131415;190883;9200;42006A042
32;66034;vlg200767;128752;202985;9250;42023A063
14;66069;vlg200819;131191;200913;9250;42023A41-
159;65135;vlg200847;132828;189405;9200;42006C091
45;66068;vlg200879;126252;201084;9250;42023A290
16;65773;vlg200932;113567;192359;9270;42010A03-
4;66467;vlg200959;122298;187346;9260;42026A19-
44;65634;vlg201012;133930;198915;9220;42008A001
19;66600;vlg201085;126531;194130;9240;42028A0AA
72;64676;vlg201100;121649;193071;9290;42003C033
8;65965;vlg201110;134374;186257;9280;42011A20-
19;65961;vlg201117;133914;187206;9280;42011A021
29;66258;vlg201173;113437;186977;9230;42025A190
21;65796;vlg201196;115747;193325;9270;42010A19-
137;64895;vlg201207;138307;189272;9255;42004A001
26;65677;vlg201209;132957;196828;9220;42008A091
132;65228;vlg201237;127877;188414;9200;42006F001
63;65506;vlg201257;133535;198678;9220;42008A043
27;66335;vlg201305;115556;189381;9230;42025A222
24;64645;vlg201306;123558;192376;9290;42003A112
151;65496;vlg201344;134958;197524;9220;42008A303
42;66329;vlg201388;113355;185059;9230;42025A6PA
76;65130;vlg201477;131630;192844;9200;42006D032
24;65430;vlg201500;133340;190016;9200;42006C01-
20;65845;vlg201559;130212;185670;9280;42011B00-
95;65457;vlg201564;128947;191190;9200;42006B00-
63;66492;vlg201623;121752;189518;9260;42026A010
34;65496;vlg201625;135284;197894;9220;42008A303
2;65496;vlg201626;135143;198249;9220;42008A325
18;64885;vlg201689;138584;189010;9255;42004A042
61;65964;vlg201719;133837;187971;9280;42011A112
116;65289;vlg201721;131954;190209;9200;42006C042
21;66532;vlg201739;118516;187139;9260;42026B00-
29;66470;vlg201948;122024;188365;9260;42026A00-
1;66684;vlg201976;128079;195838;9240;42028A072
1;65240;vlg201989;131295;191041;9200;42006A042
108;65913;vlg202015;133905;187571;9280;42011A112
122;66279;vlg202019;114168;186130;9230;42025B0PA
21;65222;vlg202106;131895;191305;9200;42006A109
44;65192;vlg202118;130900;191321;9200;42006A001
47;65968;vlg202134;129621;185251;9280;42011B00-
31;66590;vlg202149;126508;195575;9240;42028A031
88;65228;vlg202153;128104;188671;9200;42006F001
62;65053;vlg202241;134941;192349;9200;42006E021
3;66251;vlg202286;117492;186787;9230;42025A40-
74;65590;vlg202380;131896;196507;9220;42008A11-
131;65158;vlg202403;127940;189876;9200;42006F09-
171;66679;vlg202414;128089;195334;9240;42028A1PP
24;65689;vlg202415;117461;194373;9270;42010B22-
105;66596;vlg202427;125640;194546;9240;42028A222
110;65604;vlg202447;134713;198606;9220;42008A052
71;65668;vlg202543;133097;197464;9220;42008A512
328;66171;vlg202580;113914;185557;9230;42025B083
3;65271;vlg202594;131985;189036;9200;42006C032
11;66006;vlg202605;131209;201887;9250;42023A41-
82;66713;vlg202611;125606;195257;9240;42028A041
38;65255;vlg202628;135141;192179;9200;42006E021
14;66257;vlg202641;112164;187075;9230;42025A601
2;66095;vlg202646;128883;203711;9250;42023A21-
25;66554;vlg202665;125263;195332;9240;42028A090
