house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
1;50114;vlg200045;29638;176839;8972;33021D00-
22;50830;vlg200046;48173;178967;8920;33040A012
50;49926;vlg200182;27573;173512;8978;33021F000
4;49361;vlg200196;45433;172397;8900;33011A02-
10;49314;vlg200201;45931;172034;8900;33011A001
21;50301;vlg200247;58667;167620;8940;33029B001
75;50056;vlg200248;32575;174693;8970;33021A091
21;50239;vlg200261;58253;164083;8940;33029A05-
1;49607;vlg200264;43346;181118;8904;33011E091
8;49885;vlg200331;33975;172709;8970;33021A031
53;49371;vlg200332;46527;174928;8900;33011C090
24;50559;vlg200364;54725;176897;8980;33037B001
4;50336;vlg200436;56649;164118;8940;33029A01-
30;50868;vlg200470;48097;178899;8920;33040A001
3;49992;vlg200480;34744;172516;8970;33021A021
99;49795;vlg200551;48156;174534;8900;33011C010
19;49375;vlg200728;45640;172943;8900;33011A421
8;50526;vlg200813;55351;171870;8980;33037C00-
124;49396;vlg200824;44617;171289;8900;33011A101
35;50447;vlg200834;52492;174106;8980;33037A00-
7;50127;vlg200930;35877;172642;8970;33021A494
18;50323;vlg200947;56993;164413;8940;33029A04-
6;50386;vlg200998;57617;167195;8940;33029B091
1;50693;vlg201157;40903;165296;8956;33039A082
24;50374;vlg201243;58610;167813;8940;33029B023
1;50617;vlg201302;43024;162180;8952;33039C002
7;49496;vlg201529;44774;168609;8902;33011J00-
32;49680;vlg201561;41446;168864;8900;33011H00-
48;50561;vlg201570;52673;176788;8980;33037B091
33;49333;vlg201617;44685;171664;8900;33011A112
22;50896;vlg201660;43484;180922;8920;33040B09-
222;50652;vlg201679;46121;162852;8953;33039B210
37;50391;vlg201716;55491;164312;8940;33029A10-
36;50647;vlg201736;48786;166513;8953;33039B19-
30;50141;vlg201756;34100;173692;8970;33021A323
31;49669;vlg201762;45648;172082;8900;33011A001
11;50306;vlg201867;56083;164209;8940;33029A03-
56;49563;vlg201872;44800;172550;8900;33011A201
48;49878;vlg202093;29495;176468;8972;33021D00-
145;49552;vlg202107;46603;172669;8900;33011A331
2;50488;vlg202125;56170;178451;8980;33037B091
85;49926;vlg202161;28955;173897;8978;33021F19-
99;50336;vlg202437;56661;164484;8940;33029A20-
26;50521;vlg202479;52718;170215;8980;33037D01-
70;50750;vlg202491;39823;166612;8954;33039H290
14;50412;vlg202501;59067;167513;8940;33029B001
117;50687;vlg202563;49269;163218;8953;33039B19-
24;50127;vlg202587;35998;172572;8970;33021A494
57;49768;vlg202601;41469;173211;8908;33011G001
128;50390;vlg202806;55849;164213;8940;33029A03-
56;50981;vlg202858;39809;178729;8640;33041C09-
66;49850;vlg202876;30929;168384;8970;33021A190
168;49789;vlg202895;48880;169177;8902;33011L012
18;50488;vlg202967;57862;179585;8980;33037B091
6;49862;vlg202968;34307;173215;8970;33021A041
127;50381;vlg202979;56571;164577;8940;33029A20-
23;49813;vlg203044;41717;169208;8900;33011H00-
6;49407;vlg203141;48527;167333;8902;33011K09-
4;50071;vlg203158;36741;168453;8970;33021B00-
31;50322;vlg203196;59313;167034;8940;33029B001
21;49878;vlg203407;29555;176569;8972;33021D00-
134;49759;vlg203422;42865;174253;8900;33011B00-
27;49394;vlg203452;45730;172087;8900;33011A001
9;49664;vlg203456;44987;172039;8900;33011A032
39;49768;vlg203476;41470;173106;8908;33011G001
10;50523;vlg203492;55537;171858;8980;33037C00-
40;49982;vlg203538;34230;172850;8970;33021A00-
11;50178;vlg203554;37951;169232;8970;33021B19-
12;49691;vlg203623;45585;171767;8900;33011A011
42;49319;vlg203649;46320;172786;8900;33011A400
91;50366;vlg203672;57601;164575;8940;33029A04-
130;49669;vlg203691;45787;171746;8900;33011A011
68;49341;vlg203845;40864;172171;8908;33011G012
111;50830;vlg203925;46970;178124;8920;33040A09-
1;49371;vlg203945;46262;173842;8900;33011C000
11;50419;vlg203979;58496;167031;8940;33029B012
7;50969;vlg203982;38874;177753;8640;33041C00-
2;49461;vlg204020;45739;172725;8900;33011A421
15;50851;vlg204157;46607;178239;8920;33040A09-
10;49589;vlg204221;44703;171861;8900;33011A112
35;50263;vlg204238;56998;165126;8940;33029A21-
131;50827;vlg204441;43497;180945;8920;33040B09-
1;50525;vlg204523;54695;176653;8980;33037B001
99;49552;vlg204580;46777;172553;8900;33011A331
29;50338;vlg204622;55186;168387;8940;33029A30-
116;50349;vlg204711;56706;165041;8940;33029A21-
17;49830;vlg204731;46013;162651;8957;33016A09-
27;49442;vlg204759;41360;172805;8908;33011G001
6;50077;vlg205140;35031;172472;8970;33021A021
43;49715;vlg205188;44890;170255;8900;33011A121
135;49552;vlg205329;46665;172673;8900;33011A331
13;50180;vlg205340;35180;172637;8970;33021A021
5;49483;vlg205357;40977;172942;8908;33011G001
4;50223;vlg205383;57582;164362;8940;33029A04-
2;50655;vlg205645;41725;164543;8956;33039A091
67;50080;vlg205790;29250;177264;8972;33021D00-
63;50568;vlg205791;55868;177116;8980;33037B012
37;49375;vlg205799;45717;172963;8900;33011A421
1;49391;vlg205806;45465;172428;8900;33011A02-
2;49745;vlg205817;46131;172854;8900;33011A400
30;50391;vlg205842;55514;164364;8940;33029A10-
127;49563;vlg206068;44569;172958;8900;33011A201
