house_number_sans_lettre;best_street_id;best_address_id;x_31370;y_31370;best_postal_code;cd_sector
7;7749635;wal1874780;192014;76554;5575;91054L000
6;7764199;wal1874796;189454;66561;5550;91143F00-
218;7751357;wal1874680;188125;56052;5550;91143C00-
5;7748553;wal1953341;188467;93871;5570;91013F09-
1;7748441;wal1953348;192161;89169;5570;91013A091
31;7749232;wal1870695;193851;105471;5503;91034D00-
17;7749232;wal1870668;193879;105353;5503;91034D00-
20;7749232;wal1870672;193853;105405;5503;91034D00-
25;7749232;wal1870689;193872;105425;5503;91034D00-
26;7749232;wal1870690;193787;105551;5503;91034D00-
24;7749232;wal1870687;193856;105380;5503;91034D00-
20;7767820;wal1967026;219576;108167;5377;91120C162
8;7767820;wal1967013;219463;108126;5377;91120C162
1;7767820;wal1967006;219448;108176;5377;91120C162
23;7749232;wal1870686;193877;105402;5503;91034D00-
35;7749232;wal1870697;193858;105499;5503;91034D00-
21;7749232;wal1870673;193881;105386;5503;91034D00-
107;7751110;wal1870795;182962;94543;5543;91142E001
33;7749232;wal1870696;193851;105502;5503;91034D00-
27;7749232;wal1870691;193862;105449;5503;91034D00-
19;7768059;wal1970139;196572;106592;5503;91034D20-
25;7768059;wal1970145;196511;106633;5503;91034D20-
25;7768060;wal1970177;196417;106513;5503;91034D20-
18;7749232;wal1870669;193847;105436;5503;91034D00-
4;7749193;wal1575348;188493;105947;5500;91034A042
12;7749193;wal1575350;188463;106001;5500;91034A042
10;7749193;wal1575357;188468;105988;5500;91034A042
125;7749359;wal1575368;188835;105543;5500;91034A001
118;7749359;wal1575374;188817;105530;5500;91034A001
111;7749359;wal1575376;188847;105497;5500;91034A001
106;7749359;wal1575381;188846;105456;5500;91034A001
103;7749359;wal1575382;188864;105464;5500;91034A001
101;7749359;wal1575385;188871;105456;5500;91034A001
100;7749359;wal1575389;188850;105447;5500;91034A001
4;7748929;wal1575395;201583;109166;5590;91030A03-
2;7748929;wal1575402;201575;109159;5590;91030A03-
71;7748927;wal1575422;201700;109243;5590;91030A03-
47;7748927;wal1575433;201778;109307;5590;91030A03-
6;7749001;wal1575439;202472;109659;5590;91030A01-
24;7749356;wal1575443;187890;106749;5500;91034A500
81;7748335;wal1570970;182877;112479;5537;91005A200
7;7748229;wal1570987;185053;111663;5537;91005A391
5;7748229;wal1570990;185011;111798;5537;91005A391
89;7748228;wal1570992;185490;114076;5537;91005E10-
10;7750575;wal1575816;212496;94448;5580;91114B082
54;7750573;wal1575833;206620;92549;5580;91114E000
4;7750133;wal1575835;195658;97421;5560;91072A000
30;7750133;wal1575842;195805;97368;5560;91072A000
46;7750132;wal1575844;199233;94945;5564;91072K012
56;7750346;wal1575854;210411;94809;5580;91114A02-
9;7749960;wal1575870;213294;119570;5370;91064A091
5;7750586;wal1575875;208462;90866;5580;91114D00-
88;7750585;wal1575882;210885;94052;5580;91114A01-
7;7750585;wal1575885;211044;94376;5580;91114A01-
69;7750585;wal1575890;210971;94084;5580;91114A01-
19;7749889;wal1575897;211561;120268;5370;91064A01-
44;7750346;wal1575900;210494;94805;5580;91114A02-
73;7749356;wal1573169;187811;106993;5500;91034A500
56;7749356;wal1573174;187788;106999;5500;91034A500
54;7749356;wal1573178;187796;106992;5500;91034A500
44;7749201;wal1573185;188649;105774;5500;91034A042
43;7749201;wal1573186;188645;105814;5500;91034A042
4;7749201;wal1573190;188716;105693;5500;91034A042
33;7749201;wal1573194;188685;105770;5500;91034A042
29;7749201;wal1573197;188693;105764;5500;91034A042
25;7749201;wal1573201;188698;105759;5500;91034A042
24;7749201;wal1573204;188681;105736;5500;91034A042
22;7749201;wal1573208;188684;105732;5500;91034A042
14;7749283;wal1573218;191159;106243;5500;91034A800
12;7749283;wal1573223;191141;106253;5500;91034A800
36;7749356;wal1573234;187823;106943;5500;91034A500
28;7749356;wal1573240;187870;106818;5500;91034A500
26;7749356;wal1573248;187862;106773;5500;91034A500
555;7748494;wal1570996;198028;91502;5572;91013K000
65;7748433;wal1570997;192144;88751;5570;91013A00-
64;7748433;wal1570999;192102;88738;5570;91013A00-
60;7748433;wal1571005;192097;88756;5570;91013A00-
24;7748258;wal1571036;186303;111139;5537;91005A001
21;7748258;wal1571037;186293;111131;5537;91005A001
1;7748252;wal1571038;183670;112614;5537;91005A200
62;7748494;wal1571041;192339;88946;5570;91013A01-
604;7748494;wal1571050;198485;91723;5572;91013K000
578;7748494;wal1571055;198299;91581;5572;91013K000
2;7748582;wal1571060;187167;89806;5570;91013E00-
30;7748306;wal1570537;180462;113219;5537;91005D001
16;7748306;wal1570538;180416;113449;5537;91005D001
22;7748312;wal1570540;177260;109963;5537;91005B10-
13;7748946;wal1572727;202087;109572;5590;91030A00-
126;7748946;wal1572730;201708;109200;5590;91030A03-
125;7748946;wal1572740;201665;109162;5590;91030A03-
111;7748946;wal1572744;201709;109179;5590;91030A03-
108;7748946;wal1572745;201789;109260;5590;91030A03-
104;7748946;wal1572751;201799;109268;5590;91030A03-
1;7748946;wal1572753;202108;109613;5590;91030A00-
2;7748946;wal1572760;202091;109632;5590;91030A00-
22;7748681;wal1572762;200199;71375;5555;91015B00-
13;7748545;wal1572768;189959;86911;5570;91013B10-
37;7748692;wal1572783;202171;110091;5590;91030A05-
8;7749254;wal1573267;188607;105586;5500;91034A421
5;7749254;wal1573269;188601;105607;5500;91034A400
37;7749254;wal1573270;188535;105649;5500;91034A400
34;7749254;wal1573272;188509;105622;5500;91034A400
9;7749358;wal1573275;188938;105007;5500;91034A001
24;7749080;wal1574882;188413;105854;5500;91034A400
23;7749080;wal1574891;188422;105844;5500;91034A400
22;7749080;wal1574899;188430;105833;5500;91034A400
21;7749080;wal1574913;188437;105822;5500;91034A400
2;7749080;wal1574915;188517;105684;5500;91034A400
17;7749080;wal1574920;188459;105785;5500;91034A400
14;7749080;wal1574922;188465;105770;5500;91034A400
11;7749080;wal1574930;188482;105739;5500;91034A400
15;7748922;wal1574936;200011;107550;5590;91030G101
13;7748834;wal1574984;202154;109601;5590;91030A00-
20;7748312;wal1570597;177279;109941;5537;91005B10-
1;7748309;wal1570601;185604;114072;5537;91005E10-
41;7748314;wal1570602;181934;111192;5537;91005A40-
